name,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,team,is_penalty_taker,is_starter,price,points,position,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points,round
דמיאן סיסקובסקי,5,469,0,0,0.0,6.68,0.556,0.619,0.0,0.0,0.0,Damjan Siskovski,צפון מקדוניה,0,1,3,0,GK,אוסטריה,1.0,1.4000000000000041,1.52,1.08,-0.39899999999999997,0.8258228451185136,1.9712414770809452,"(0, 1)",4.0,1
סטולה דימיטרייבסקי,4,337,0,0,0.0,6.155,0.444,0.445,0.0,0.0,0.0,Stole Dimitrievski,צפון מקדוניה,0,1,4,0,GK,אוסטריה,1.0,1.4000000000000041,1.52,1.08,-0.39899999999999997,0.8258228451185136,1.9712414770809452,"(0, 1)",4.0,1
לוקאס הרדצקי,6,540,0,0,0.2,7.03,0.75,0.765,0.0,0.0,0.0,Lukás Hrádecky,פינלנד,0,1,4,0,GK,דנמרק,1.2800000000000002,1.2,2.3000000000000003,0.8999999999999999,-0.699,0.7494757107986386,3.207184092366902,"(0, 3)",2.0,1
דושאן קוציאק,3,270,0,0,0.0,6.135,0.429,0.429,0.0,0.0,0.0,Dusan Kuciak,סלובקיה,0,1,3,0,GK,פולין,1.2000000000000002,1.44,1.4400000000000002,0.6,-0.308,0.7498750208298618,1.800450112528132,"(0, 1)",4.0,1
מארק רודאק,3,270,0,0,0.0,7.28,0.429,0.429,0.0,0.0,0.0,Marek Rodák,סלובקיה,0,1,3,0,GK,פולין,1.2000000000000002,1.44,1.4400000000000002,0.6,-0.308,0.7498750208298618,1.800450112528132,"(0, 1)",4.0,1
מרטין דוברבקה,1,90,0,0,0.0,7.3,0.143,0.143,0.0,0.0,0.0,Martin Dúbravka,סלובקיה,0,0,5,0,GK,פולין,1.2000000000000002,1.44,1.4400000000000002,0.6,-0.308,0.7498750208298618,1.800450112528132,"(0, 1)",0.0,1
דנש דיבוס,5,450,0,0,0.0,6.69,0.625,0.625,0.0,0.0,0.0,Dénes Dibusz,הונגריה,0,1,3,0,GK,פורטוגל,1.04,1.56,2.2,0.8999999999999999,-0.6709999999999999,0.6754169132750757,3.3342200939966307,"(0, 3)",2.0,1
פיטר גולאצ'י,4,360,0,0,0.0,6.015,0.5,0.5,0.0,0.0,0.0,Péter Gulácsi,הונגריה,0,1,4,0,GK,פורטוגל,1.04,1.56,2.2,0.8999999999999999,-0.6709999999999999,0.6754169132750757,3.3342200939966307,"(0, 3)",2.0,1
קרייג גורדון,2,180,0,0,0.0,6.66,0.25,0.25,0.0,0.0,0.0,Craig Gordon,סקוטלנד,0,0,5,0,GK,צ`כיה,1.1333333333333362,2.000000000000004,1.3,1.65,-0.245,1.2004888217957022,1.9625334522747573,"(1, 1)",0.0,1
דייויד מרשל,7,630,0,0,0.0,6.62,0.875,0.875,0.0,0.0,0.0,David Marshall,סקוטלנד,0,1,3,0,GK,צ`כיה,1.1333333333333362,2.000000000000004,1.3,1.65,-0.245,1.2004888217957022,1.9625334522747573,"(1, 1)",4.0,1
ג'ון מקלולין,4,406,0,0,0.55,6.735,0.5,0.564,0.0,0.0,0.0,Kenny McLean,סקוטלנד,0,1,3,0,GK,צ`כיה,1.1333333333333362,2.000000000000004,1.3,1.65,-0.245,1.2004888217957022,1.9625334522747573,"(1, 1)",4.0,1
אנטון שונין,7,630,0,0,0.0,6.655,0.875,0.886,0.0,0.0,0.0,Anton Shunin,רוסיה,0,1,6,0,GK,בלגיה,2.0,0.96,3.2,0.36,-0.552,0.86841330585811,3.243917654398004,"(0, 3)",2.0,1
אנטולי טרובין,1,90,0,0,0.0,5.96,0.143,0.143,0.0,0.0,0.0,Anatolii Trubin,אוקראינה,0,0,5,0,GK,הולנד,1.7000000000000002,0.6,2.4000000000000004,1.05,-0.345,1.1231366142536245,1.9336126329358687,"(1, 1)",0.0,1
אנדרי פיאטוב,3,270,0,0,0.0,6.12,0.429,0.429,0.0,0.0,0.0,Andriy Pyatov,אוקראינה,0,1,3,0,GK,הולנד,1.7000000000000002,0.6,2.4000000000000004,1.05,-0.345,1.1231366142536245,1.9336126329358687,"(1, 1)",4.0,1
גיאורגי בושצ'אן,4,360,0,0,0.0,7.04,0.571,0.571,0.0,0.0,0.0,Georgi Bushchan,אוקראינה,0,1,6,0,GK,הולנד,1.7000000000000002,0.6,2.4000000000000004,1.05,-0.345,1.1231366142536245,1.9336126329358687,"(1, 1)",4.0,1
אלכסנדר שלאגר,5,450,0,0,0.0,5.705,0.556,0.565,0.0,0.0,0.0,Alexander Schlager,אוסטריה,0,1,6,0,GK,צפון מקדוניה,1.52,1.08,1.0,1.4000000000000041,0.39899999999999997,1.9712414770809452,0.8258228451185136,"(1, 0)",6.0,1
פאבאו פרבאן,4,360,0,0,0.0,6.7,0.444,0.452,0.0,0.0,0.0,Pavao Pervan,אוסטריה,0,1,3,0,GK,צפון מקדוניה,1.52,1.08,1.0,1.4000000000000041,0.39899999999999997,1.9712414770809452,0.8258228451185136,"(1, 0)",6.0,1
אלש מנדוס,1,90,0,0,0.0,5.91,0.143,0.143,0.0,0.0,0.0,Ales Mandous,צ`כיה,0,0,3,0,GK,סקוטלנד,1.3,1.65,1.1333333333333362,2.000000000000004,0.245,1.9625334522747573,1.2004888217957022,"(1, 1)",0.0,1
תומאש קובק,0,45,0,0,0.0,6.54,0.0,0.071,0.0,0.0,0.0,Tomás Koubek,צ`כיה,0,0,3,0,GK,סקוטלנד,1.3,1.65,1.1333333333333362,2.000000000000004,0.245,1.9625334522747573,1.2004888217957022,"(1, 1)",0.0,1
תומאש ואצליק,7,586,0,0,0.0,6.48,1.0,0.93,0.0,0.0,0.0,Tomás Vaclik,צ`כיה,0,1,6,0,GK,סקוטלנד,1.3,1.65,1.1333333333333362,2.000000000000004,0.245,1.9625334522747573,1.2004888217957022,"(1, 1)",4.0,1
לוקאש פביאנסקי,3,270,0,0,0.0,6.61,0.375,0.359,0.0,0.0,0.0,Lukasz Fabianski,פולין,0,0,6,0,GK,סלובקיה,1.4400000000000002,0.6,1.2000000000000002,1.44,0.308,1.800450112528132,0.7498750208298618,"(1, 0)",0.0,1
ווייצ'ך שצ'סני,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,פולין,0,1,7,0,GK,סלובקיה,1.4400000000000002,0.6,1.2000000000000002,1.44,0.308,1.800450112528132,0.7498750208298618,"(1, 0)",6.0,1
אדם דייויס,0,11,0,0,0.0,6.13,0.0,0.015,0.0,0.0,0.0,Adam Davies,וויילס,0,0,3,0,GK,שווייץ,1.0,0.8999999999999999,1.9000000000000001,0.8999999999999999,-0.197,0.8421612517175657,1.6055966511841275,"(0, 1)",0.0,1
וויין הנסי,4,360,0,0,0.0,6.58,0.5,0.5,0.0,0.0,0.0,Danny Ward,וויילס,0,1,4,0,GK,שווייץ,1.0,0.8999999999999999,1.9000000000000001,0.8999999999999999,-0.197,0.8421612517175657,1.6055966511841275,"(0, 1)",4.0,1
