name,team
הוגו לוריס,צרפת
אונאי סימון,ספרד
טיבו קורטואה,בלגיה
מנואל נוייר,גרמניה
ג'אנלואיג'י דונארומה,איטליה
ג'ורדן פיקפורד,אנגליה
דין הנדרסון,אנגליה
רוי פטריסיו,פורטוגל
דומיניק ליבאקוביץ',קרואטיה
ווייצ'ך שצ'סני,פולין
יאן זומר,שווייץ
קספר שמייכל,דנמרק
אואורג'אן צ'אקיר,טורקיה
אלכסנדר שלאגר,אוסטריה
אנטון שונין,רוסיה
גיאורגי בושצ'אן,אוקראינה
דויד דה חאה,ספרד
לוקאש פביאנסקי,פולין
רובין אולסן,שבדיה
תומאש ואצליק,צ`כיה
אנטולי טרובין,אוקראינה
ברנד לנו,גרמניה
דני וורד,וויילס
טים קרול,הולנד
מייק מניאן,צרפת
מרטין דוברבקה,סלובקיה
קרייג גורדון,סקוטלנד
אלכס מרט,איטליה
אנתוני לופס,פורטוגל
וויין הנסי,וויילס
לוברה קאליניץ',קרואטיה
לוקאס הרדצקי,פינלנד
מאטביי סאפונוב,רוסיה
מרקו ביזוט,הולנד
סטולה דימיטרייבסקי,צפון מקדוניה
סיימון מיניולה,בלגיה
סלבטורה סיריגו,איטליה
פיטר גולאצ'י,הונגריה
אדם בוגדן,הונגריה
אדם דייויס,וויילס
אלטאי ביינדיר,טורקיה
אלש מנדוס,צ`כיה
אנדרי פיאטוב,אוקראינה
אנסי יאקולה,פינלנד
ג'ון מקלולין,סקוטלנד
דושאן קוציאק,סלובקיה
דייויד מרשל,סקוטלנד
דמיאן סיסקובסקי,צפון מקדוניה
דניאל באכמן,אוסטריה
דנש דיבוס,הונגריה
יבון מבוגו,שווייץ
יונאס אומלין,שווייץ
יונאס לוסל,דנמרק
יורי דיופין,רוסיה
יסה יורונן,פינלנד
כריסטופר נורדפלט,שבדיה
לוקאש סקורופסקי,פולין
מאטס סלס,בלגיה
מארטן סטקלנבורך,הולנד
מארק רודאק,סלובקיה
מרט גונוק,טורקיה
סאם ג'ונסטון,אנגליה
סטיב מנדאנדה,צרפת
סימון סלוגה,קרואטיה
פאבאו פרבאן,אוסטריה
פרדריק רונואו,דנמרק
קארל יוהאן יוהאנסון,שבדיה
קווין טראפ,גרמניה
רוברט סאנצ'ס,ספרד
רוי סילבה,פורטוגל
ריסטה ינקוב,צפון מקדוניה
תומאש קובק,צ`כיה
רפאל וראן,צרפת
אנטוניו רודיגר,גרמניה
בן צ'ילוול,אנגליה
בנז'מין פבאר,צרפת
ג'ורדי אלבה,ספרד
לוקאס הרננדז,צרפת
מאטס הומלס,גרמניה
מרקוס יורנטה,ספרד
פרסנל קמפמבה,צרפת
אואן וינדאל,הולנד
אלסנדרו באסטוני,איטליה
אלסנדרו פלורנצי,איטליה
אמריק לאפורט,ספרד
בורנה בארישיץ',קרואטיה
ג'ון סטונס,אנגליה
דיילי בלינד,הולנד
דנזל דמפריס,הולנד
הארי מגווייר,אנגליה
ז'ואאו קאנסלו,פורטוגל
טובי אלדרווירלד,בלגיה
יאן ורטונגן,בלגיה
לאונרדו בונוצ'י,איטליה
מתיאס גינטר,גרמניה
מתייס דה ליכט,הולנד
ניקלאס זולה,גרמניה
פאו טורס,ספרד
קייל ווקר,אנגליה
רובן דיאס,פורטוגל
רפאל גריירו,פורטוגל
תומא מונייה,בלגיה
אמרסון,איטליה
פפה,פורטוגל
אלכסנדר זינצ'נקו,אוקראינה
אמרה צ'אן,גרמניה
אנדראס כריסטנסן,דנמרק
אריק גרסיה,ספרד
ברטוש ברשינסקי,פולין
ג'יורג'יו קייליני,איטליה
ג'ייסון דנאייר,בלגיה
דומאגוי וידה,קרואטיה
דיאן לוברן,קרואטיה
דניאל ואס,דנמרק
ויקטור לינדלוף,שבדיה
ז'וזה פונטה,פורטוגל
יאן בדנארק,פולין
יואל פלטמן,הולנד
יואקים מהלה,דנמרק
לאונרדו ספינצולה,איטליה
לודוויג אוגוסטינסון,שבדיה
לוקה דין,צרפת
