name_h,name_e,team,is_penalty_taker,is_starter
אלכסנדר שלאגר,Alexander Schlager,אוסטריה,0,0
דניאל באכמן,,אוסטריה,0,0
פאבאו פרבאן,Pavao Pervan,אוסטריה,0,0
אלכסנדר דרגוביץ',Aleksandar Dragovic,אוסטריה,0,1
אנדראס אולמר,Andreas Ulmer,אוסטריה,0,1
מרטין הינטרגר,Martin Hinteregger,אוסטריה,0,1
שטפן ליינר,Stefan Lainer,אוסטריה,0,1
פיליפ לינהרט,Philipp Lienhart,אוסטריה,0,0
שטפן פוש,Stefan Posch,אוסטריה,0,0
כריסטופר טרימל,Christopher Trimmel,אוסטריה,0,0
מרקו פרידל,Marco Friedl,אוסטריה,0,0
דויד אלאבה,David Alaba,אוסטריה,0,1
מרסל זביצר,Marcel Sabitzer,אוסטריה,1,1
כריסטוף באומגרטנר,Christoph Baumgartner,אוסטריה,0,1
לואיס שאוב,Louis Schaub,אוסטריה,0,0
אלסנדרו שוף,Alessandro Schöpf,אוסטריה,0,0
ולנטינו לזארו,Valentino Lazaro,אוסטריה,0,0
יוליאן באומגרטלינגר,Julian Baumgartlinger,אוסטריה,0,1
פלוריאן גריליץ',Florian Grillitsch,אוסטריה,0,0
קונרד ליימר,,אוסטריה,0,0
קסאבר שלאגר,Xaver Schlager,אוסטריה,0,0
שטפן אילזנקר,Stefan Ilsanker,אוסטריה,0,0
מרקו ארנאוטוביץ',Marko Arnautovic,אוסטריה,0,0
סשה קלאידזיץ',Sasa Kalajdzic,אוסטריה,0,1
כרים אוניסיוו,Karim Onisiwo,אוסטריה,0,0
מיכאל גרגוריץ',Michael Gregoritsch,אוסטריה,0,0
גיאורגי בושצ'אן,Georgi Bushchan,אוקראינה,0,1
אנטולי טרובין,Anatolii Trubin,אוקראינה,0,0
אנדרי פיאטוב,Andriy Pyatov,אוקראינה,0,0
אלכסנדר זינצ'נקו,Oleksandr Zinchenko,אוקראינה,0,1
אלכסנדר קראבייב,Oleksandr Karavaev,אוקראינה,0,1
ויטלי מיקולנקו,Vitalii Mykolenko,אוקראינה,0,1
מיקולה מטביינקו,Mykola Matvienko,אוקראינה,0,1
סרגיי קריבצוב,Serhii Kryvtsov,אוקראינה,0,0
דניס פופוב,,אוקראינה,0,0
אדוארד סובול,Eduard Sobol,אוקראינה,0,0
איליה זבארני,Illia Zabarnyi,אוקראינה,0,1
אלכסנדר טימצ'יק,Oleksandr Tymchyk,אוקראינה,0,0
ויקטור ציגנקוב,Viktor Tsygankov,אוקראינה,0,0
אנדרי ירמולנקו,Andriy Yarmolenko,אוקראינה,0,1
רוסלן מלינובסקי,Ruslan Malinovskiy,אוקראינה,0,1
מארלוס,Marlos Romero Bonfim,אוקראינה,0,0
אלכסנדר זובקוב,Oleksandr Zubkov,אוקראינה,0,1
טארס סטפננקו,Taras Stepanenko,אוקראינה,0,1
יבגני מקרנקו,Yevhenii Makarenko,אוקראינה,0,0
סרגיי סידורצ'וק,Serhiy Sydorchuk,אוקראינה,0,0
גיאורגי סודאקוב,,אוקראינה,0,0
רומן בזוס,,אוקראינה,0,0
רומן יארמצ'וק,Roman Yaremchuk,אוקראינה,0,1
ארטם בסדין,,אוקראינה,0,0
ארטם דובביק,Artem Dovbyk,אוקראינה,0,0
ג'אנלואיג'י דונארומה,Gianluigi Donnarumma,איטליה,0,1
אלכס מרט,,איטליה,0,0
סלבטורה סיריגו,,איטליה,0,0
אלסנדרו באסטוני,Alessandro Bastoni,איטליה,0,0
אלסנדרו פלורנצי,Alessandro Florenzi,איטליה,0,1
לאונרדו בונוצ'י,Leonardo Bonucci,איטליה,0,1
אמרסון,Emerson,איטליה,0,0
ג'יורג'יו קייליני,Giorgio Chiellini,איטליה,0,1
לאונרדו ספינצולה,Leonardo Spinazzola,איטליה,0,1
ג'ובאני די לורנצו,Giovanni Di Lorenzo,איטליה,0,0
פרנצ'סקו אצ'רבי,Francesco Acerbi,איטליה,0,0
רפאל טולוי,Rafael Tolói,איטליה,0,0
לורנצו אינסינייה,Lorenzo Insigne,איטליה,0,1
דומניקו ברארדי,Domenico Berardi,איטליה,0,0
פדריקו קייזה,Federico Chiesa,איטליה,0,0
לורנצו פלגריני,Lorenzo Pellegrini,איטליה,0,0
פדריקו ברנרדרסקי,Federico Bernardeschi,איטליה,0,0
ז'ורז'יניו,Jorginho,איטליה,1,1
מרקו וראטי,Marco Verratti,איטליה,0,0
ניקולו בארלה,Nicolò Barella,איטליה,0,1
בריאן כריסטנטה,Bryan Cristante,איטליה,0,0
מנואל לוקאטלי,Manuel Locatelli,איטליה,0,1
סטפנו סנסי,Stefano Sensi,איטליה,0,0
צ'ירו אימובילה,Ciro Immobile,איטליה,0,1
אנדראה בלוטי,Andrea Belotti,איטליה,0,0
ג'יאקומו רספאדורי,,איטליה,0,0
ג'ורדן פיקפורד,Jordan Pickford,אנגליה,0,1
דין הנדרסון,,אנגליה,0,0
סאם ג'ונסטון,,אנגליה,0,0
בן צ'ילוול,Ben Chilwell,אנגליה,0,0
ג'ון סטונס,John Stones,אנגליה,0,1
הארי מגווייר,Harry Maguire,אנגליה,0,0
קייל ווקר,Kyle Walker,אנגליה,0,1
טיירון מינגס,Tyrone Mings,אנגליה,0,1
לוק שואו,Luke Shaw,אנגליה,0,0
קירן טריפייר,Kieran Trippier,אנגליה,0,0
קונור קודי,Conor Coady,אנגליה,0,0
ריס ג'יימס,Reece James,אנגליה,0,0
ג'יידון סאנצ'ו,Jadon Sancho,אנגליה,0,0
מרכוס רשפורד,Marcus Rashford,אנגליה,0,0
ראחים סטרלינג,Raheem Sterling,אנגליה,0,0
פיל פודן,Phil Foden,אנגליה,0,1
מייסון מאונט,Mason Mount,אנגליה,0,1
