Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Agim Ibraimi,0,2,0,0,0,6.12,0.000,0.003,0.000,0.000,0.000
Aleksandar Trajkovski,6,450,3,0,1.75,6.955,0.667,0.594,0.176,0.000,0.111
Arijan Ademi,3,275,1,1,1,7.045,0.333,0.363,0.059,0.100,0.074
Boban Nikolov,6,493,0,0,1.05,6.67,0.667,0.650,0.000,0.000,0.000
Damjan Siskovski,5,469,0,0,0,6.68,0.556,0.619,0.000,0.000,0.000
Darko Micevski,0,29,0,0,0,6.4,0.000,0.038,0.000,0.000,0.000
Darko Velkovski,6,540,0,0,0.7,6.77,0.667,0.712,0.000,0.000,0.000
Dusko Trajcevski,0,6,0,0,1,6.33,0.000,0.008,0.000,0.000,0.000
Egzon Bejtulai,3,345,0,0,0.3,6.49,0.333,0.455,0.000,0.000,0.000
Eljif Elmas,6,535,2,1,1,7.16,0.667,0.706,0.118,0.100,0.111
Enis Bardhi,5,463,1,2,1.2,7.16,0.556,0.611,0.059,0.200,0.111
Ennur Totre,1,86,0,0,0,6.4,0.111,0.113,0.000,0.000,0.000
Ezgjan Alioski,7,606,2,1,0.65,7.05,0.778,0.799,0.118,0.100,0.111
Ferhan Hasani,1,70,0,0,0,6.205,0.111,0.092,0.000,0.000,0.000
Gjoko Zajkov,3,275,1,0,0.5,6.94,0.333,0.363,0.059,0.000,0.037
Goran Pandev,5,448,2,1,1.65,6.74,0.556,0.591,0.118,0.100,0.111
Ilija Nestorovski,4,382,2,1,2,6.56,0.444,0.504,0.118,0.100,0.111
Ivan Trichkovski,4,324,1,0,2,6.45,0.444,0.427,0.059,0.000,0.037
Kire Ristevski,5,420,0,0,0.35,6.72,0.556,0.554,0.000,0.000,0.000
Krste Velkoski,0,24,0,0,0.5,6.14,0.000,0.032,0.000,0.000,0.000
Ljupco Doriev,0,32,0,0,1,6.59,0.000,0.042,0.000,0.000,0.000
Marjan Radeski,1,90,0,0,1,7.54,0.111,0.119,0.000,0.000,0.000
Stefan Askovski,0,24,0,0,1,6.36,0.000,0.032,0.000,0.000,0.000
Stefan Ristovski,9,758,1,2,0.4,6.915,1.000,1.000,0.059,0.200,0.111
Stefan Spirovski,4,366,0,1,0.9,6.445,0.444,0.483,0.000,0.100,0.037
Stole Dimitrievski,4,337,0,0,0,6.155,0.444,0.445,0.000,0.000,0.000
Tihomir Kostadinov,3,258,0,0,0.3,6.43,0.333,0.340,0.000,0.000,0.000
Tome Kitanovski,0,20,0,0,0,6.09,0.000,0.026,0.000,0.000,0.000
Visar Musliu,7,584,0,0,0.15,6.62,0.778,0.770,0.000,0.000,0.000
Vlatko Stojanovski,1,154,1,0,1,6.385,0.111,0.203,0.059,0.000,0.037
Albin Granlund,2,103,0,0,0,6.615,0.250,0.146,0.000,0.000,0.000
Daniel O'Shaughnessy,4,331,0,0,0.35,6.225,0.500,0.469,0.000,0.000,0.000
Fredrik Jensen,1,157,3,0,1,7.06,0.125,0.222,0.300,0.000,0.176
Glen Kamara,8,705,0,0,0.5,6.585,1.000,0.999,0.000,0.000,0.000
Ilmari Niskanen,2,219,0,0,1.3,6.55,0.250,0.310,0.000,0.000,0.000
Jere Uronen,5,383,0,1,0.2,6.49,0.625,0.542,0.000,0.143,0.059
Jesse Joronen,2,180,0,0,0,7.15,0.250,0.255,0.000,0.000,0.000
Joel Pohjanpalo,4,297,0,1,0.8,6.32,0.500,0.421,0.000,0.143,0.059
Joni Kauko,3,225,0,1,0.25,6.69,0.375,0.319,0.000,0.143,0.059
Joona Toivio,6,540,0,0,0.4,6.71,0.750,0.765,0.000,0.000,0.000
Juhani Ojala,2,180,0,0,0.5,6.78,0.250,0.255,0.000,0.000,0.000
Jukka Raitala,3,260,0,0,0.25,6.505,0.375,0.368,0.000,0.000,0.000
Leo Väisänen,2,180,0,0,0.5,6.53,0.250,0.255,0.000,0.000,0.000
Lukás Hrádecky,6,540,0,0,0.2,7.03,0.750,0.765,0.000,0.000,0.000
Marcus Forss,0,56,0,0,0.5,6.04,0.000,0.079,0.000,0.000,0.000
Niko Hämäläinen,2,212,0,0,0.5,6.32,0.250,0.300,0.000,0.000,0.000
Nikolai Alho,4,436,0,0,0.5,6.34,0.500,0.618,0.000,0.000,0.000
Onni Valakari,1,63,0,0,0.5,6.13,0.125,0.089,0.000,0.000,0.000
