,name_h,name_e,team,is_penalty_taker,is_starter
0,אלכסנדר שלאגר,Alexander Schlager,אוסטריה,0,0
1,דניאל באכמן,Daniel Bachmann,אוסטריה,0,0
2,פאבאו פרבאן,Pavao Pervan,אוסטריה,0,0
3,אלכסנדר דרגוביץ',Aleksandar Dragovic,אוסטריה,0,1
4,אנדראס אולמר,Andreas Ulmer,אוסטריה,0,1
5,מרטין הינטרגר,Martin Hinteregger,אוסטריה,0,1
6,שטפן ליינר,Stefan Lainer,אוסטריה,0,1
7,פיליפ לינהרט,Philipp Lienhart,אוסטריה,0,0
8,שטפן פוש,Stefan Posch,אוסטריה,0,0
9,כריסטופר טרימל,Christopher Trimmel,אוסטריה,0,0
10,מרקו פרידל,Marco Friedl,אוסטריה,0,0
11,דויד אלאבה,David Alaba,אוסטריה,0,1
12,מרסל זביצר,Marcel Sabitzer,אוסטריה,1,1
13,כריסטוף באומגרטנר,Christoph Baumgartner,אוסטריה,0,1
14,לואיס שאוב,Louis Schaub,אוסטריה,0,0
15,אלסנדרו שוף,Alessandro Schöpf,אוסטריה,0,0
16,ולנטינו לזארו,Valentino Lazaro,אוסטריה,0,0
17,יוליאן באומגרטלינגר,Julian Baumgartlinger,אוסטריה,0,1
18,פלוריאן גריליץ',Florian Grillitsch,אוסטריה,0,0
19,קונרד ליימר,Konrad Laimer,אוסטריה,0,0
20,קסאבר שלאגר,Xaver Schlager,אוסטריה,0,0
21,שטפן אילזנקר,Stefan Ilsanker,אוסטריה,0,0
22,מרקו ארנאוטוביץ',Marko Arnautovic,אוסטריה,0,0
23,סשה קלאידזיץ',Sasa Kalajdzic,אוסטריה,0,1
24,כרים אוניסיוו,Karim Onisiwo,אוסטריה,0,0
25,מיכאל גרגוריץ',Michael Gregoritsch,אוסטריה,0,0
26,גיאורגי בושצ'אן,Georgi Bushchan,אוקראינה,0,1
27,אנטולי טרובין,Anatolii Trubin,אוקראינה,0,0
28,אנדרי פיאטוב,Andriy Pyatov,אוקראינה,0,0
29,אלכסנדר זינצ'נקו,Oleksandr Zinchenko,אוקראינה,0,1
30,אלכסנדר קראבייב,Oleksandr Karavaev,אוקראינה,0,1
31,ויטלי מיקולנקו,Vitalii Mykolenko,אוקראינה,0,1
32,מיקולה מטביינקו,Mykola Matvienko,אוקראינה,0,1
33,סרגיי קריבצוב,Serhii Kryvtsov,אוקראינה,0,0
34,דניס פופוב,,אוקראינה,0,0
35,אדוארד סובול,Eduard Sobol,אוקראינה,0,0
36,איליה זבארני,Illia Zabarnyi,אוקראינה,0,1
37,אלכסנדר טימצ'יק,Oleksandr Tymchyk,אוקראינה,0,0
38,ויקטור ציגנקוב,Viktor Tsygankov,אוקראינה,0,0
39,אנדרי ירמולנקו,Andriy Yarmolenko,אוקראינה,1,1
40,רוסלן מלינובסקי,Ruslan Malinovskiy,אוקראינה,0,1
41,מארלוס,Marlos Romero Bonfim,אוקראינה,0,0
42,אלכסנדר זובקוב,Oleksandr Zubkov,אוקראינה,0,1
43,טארס סטפננקו,Taras Stepanenko,אוקראינה,0,1
44,יבגני מקרנקו,Yevhenii Makarenko,אוקראינה,0,0
45,סרגיי סידורצ'וק,Serhiy Sydorchuk,אוקראינה,0,0
46,גיאורגי סודאקוב,,אוקראינה,0,0
47,רומן בזוס,,אוקראינה,0,0
48,רומן יארמצ'וק,Roman Yaremchuk,אוקראינה,0,1
49,ארטם בסדין,Artem Besedin,אוקראינה,0,0
50,ארטם דובביק,Artem Dovbyk,אוקראינה,0,0
51,ג'אנלואיג'י דונארומה,Gianluigi Donnarumma,איטליה,0,1
52,אלכס מרט,,איטליה,0,0
53,סלבטורה סיריגו,Salvatore Sirigu,איטליה,0,0
54,אלסנדרו באסטוני,Alessandro Bastoni,איטליה,0,0
55,אלסנדרו פלורנצי,Alessandro Florenzi,איטליה,0,0
56,לאונרדו בונוצ'י,Leonardo Bonucci,איטליה,0,1
57,אמרסון,Emerson,איטליה,0,0
58,ג'יורג'יו קייליני,Giorgio Chiellini,איטליה,0,1
59,לאונרדו ספינצולה,Leonardo Spinazzola,איטליה,0,1
60,ג'ובאני די לורנצו,Giovanni Di Lorenzo,איטליה,0,0
61,פרנצ'סקו אצ'רבי,Francesco Acerbi,איטליה,0,0
62,רפאל טולוי,Rafael Tolói,איטליה,0,0
63,לורנצו אינסינייה,Lorenzo Insigne,איטליה,0,1
64,דומניקו ברארדי,Domenico Berardi,איטליה,0,1
65,פדריקו קייזה,Federico Chiesa,איטליה,0,0
66,לורנצו פלגריני,Lorenzo Pellegrini,איטליה,0,0
67,פדריקו ברנרדרסקי,Federico Bernardeschi,איטליה,0,0
68,ז'ורז'יניו,Jorginho,איטליה,1,1
69,מרקו וראטי,Marco Verratti,איטליה,0,0
70,ניקולו בארלה,Nicolò Barella,איטליה,0,1
71,בריאן כריסטנטה,Bryan Cristante,איטליה,0,0
72,מנואל לוקאטלי,Manuel Locatelli,איטליה,0,1
73,סטפנו סנסי,Stefano Sensi,איטליה,0,0
74,צ'ירו אימובילה,Ciro Immobile,איטליה,0,1
75,אנדראה בלוטי,Andrea Belotti,איטליה,0,0
76,ג'יאקומו רספאדורי,Giacomo Raspadori,איטליה,0,0
77,ג'ורדן פיקפורד,Jordan Pickford,אנגליה,0,1
78,דין הנדרסון,,אנגליה,0,0
79,סאם ג'ונסטון,,אנגליה,0,0
80,בן צ'ילוול,Ben Chilwell,אנגליה,0,0
81,ג'ון סטונס,John Stones,אנגליה,0,1
82,הארי מגווייר,Harry Maguire,אנגליה,0,0
83,קייל ווקר,Kyle Walker,אנגליה,0,1
84,טיירון מינגס,Tyrone Mings,אנגליה,0,0
85,לוק שואו,Luke Shaw,אנגליה,0,1
86,קירן טריפייר,Kieran Trippier,אנגליה,0,0
87,קונור קודי,Conor Coady,אנגליה,0,0
88,ריס ג'יימס,Reece James,אנגליה,0,0
89,ג'יידון סאנצ'ו,Jadon Sancho,אנגליה,0,0
90,מרכוס רשפורד,Marcus Rashford,אנגליה,0,0
91,ראחים סטרלינג,Raheem Sterling,אנגליה,0,1
92,פיל פודן,Phil Foden,אנגליה,0,0
93,מייסון מאונט,Mason Mount,אנגליה,0,0
94,ג'ק גריליש,Jack Grealish,אנגליה,0,0
95,בוקאיו סאקה,Bukayo Saka,אנגליה,0,0
96,ג'וד בלינגהאם,Jude Bellingham,אנגליה,0,0
97,ג'ורדן הנדרסון,Jordan Henderson,אנגליה,0,0
98,דקלאן רייס,Declan Rice,אנגליה,0,1
99,קלווין פיליפס,Kalvin Phillips,אנגליה,0,0
100,הארי קיין,Harry Kane,אנגליה,1,1
101,דומיניק קלברט-לווין,Dominic Calvert-Lewin,אנגליה,0,0
102,טיבו קורטואה,Thibaut Courtois,בלגיה,0,1
103,סיימון מיניולה,Simon Mignolet,בלגיה,0,0
104,מאטס סלס,,בלגיה,0,0
105,טובי אלדרווירלד,Toby Alderweireld,בלגיה,0,1
106,יאן ורטונגן,Jan Vertonghen,בלגיה,0,1
107,תומא מונייה,Thomas Meunier,בלגיה,0,1
108,ג'ייסון דנאייר,Jason Denayer,בלגיה,0,1
109,תומאס ורמאלן,Thomas Vermaelen,בלגיה,0,0
110,דדריק בויאטה,Dedryck Boyata,בלגיה,0,0
111,טימותי קסטאן,Timothy Castagne,בלגיה,0,0
112,קווין דה בריינה,Kevin De Bruyne,בלגיה,0,1
113,אדן הזאר,Eden Hazard,בלגיה,0,1
114,יאניק קראסקו,Yannick Carrasco,בלגיה,0,1
115,טורגן הזאר,Thorgan Hazard,בלגיה,0,0
116,האנס ואנקן,Hans Vanaken,בלגיה,0,0
117,ז'רמי דוקו,Jéremy Doku,בלגיה,0,0
118,יורי טיילמנס,Youri Tielemans,בלגיה,0,0
119,אקסל ויטסל,Axel Witsel,בלגיה,0,0
120,דניס פראט,Dennis Praet,בלגיה,0,0
121,לאנדר דנדונקר,Leander Dendoncker,בלגיה,0,0
122,לאנדרו טרוסארד,Leandro Trossard,בלגיה,0,0
123,נאסר צ'אדלי,Nacer Chadli,בלגיה,0,0
124,רומלו לוקאקו,Romelu Lukaku,בלגיה,1,1
125,דריס מרטנס,Dries Mertens,בלגיה,0,0
126,כריסטיאן בנטקה,Christian Benteke,בלגיה,0,0
127,מיצ'י באטשואי,Michy Batshuayi,בלגיה,0,0
128,מנואל נוייר,Manuel Neuer,גרמניה,0,1
129,ברנד לנו,Bernd Leno,גרמניה,0,0
130,קווין טראפ,Kevin Trapp,גרמניה,0,0
131,אנטוניו רודיגר,Antonio Rüdiger,גרמניה,0,1
132,מאטס הומלס,Mats Hummels,גרמניה,0,1
133,מתיאס גינטר,Matthias Ginter,גרמניה,0,1
134,אמרה צ'אן,Emre Can,גרמניה,0,0
135,מרסל הלסטנברג,Marcel Halstenberg,גרמניה,0,0
136,ניקלאס זולה,Niklas Süle,גרמניה,0,0
137,רובין גוסנס,Robin Gosens,גרמניה,0,1
138,לוקאס קלוסטרמן,Lukas Klostermann,גרמניה,0,0
139,כריסטיאן גאנטר,,גרמניה,0,0
140,רובין קוך,Robin Koch,גרמניה,0,0
141,לירוי סאנה,Leroy Sané,גרמניה,0,1
142,תומאס מולר,Thomas Müller,גרמניה,0,1
143,קאי האברץ,Kai Havertz,גרמניה,0,1
144,אילקאי גונדואן,Ilkay Gündogan,גרמניה,1,1
145,לאון גורצקה,Leon Goretzka,גרמניה,0,0
146,טוני קרוס,Toni Kroos,גרמניה,0,1
147,יוזואה קימיך,Joshua Kimmich,גרמניה,0,1
148,ג'מאל מוסיאלה,Jamal Musiala,גרמניה,0,0
149,יונאס הופמן,,גרמניה,0,0
150,פלוריאן נויהאוס,Florian Neuhaus,גרמניה,0,0
151,סרג' גנאברי,Serge Gnabry,גרמניה,0,1
152,טימו ורנר,Timo Werner,גרמניה,0,0
153,קווין פולאנד,Kevin Volland,גרמניה,0,0
154,קספר שמייכל,Kasper Schmeichel,דנמרק,0,1
155,יונאס לוסל,,דנמרק,0,0
156,פרדריק רונואו,,דנמרק,0,0
157,אנדראס כריסטנסן,Andreas Christensen,דנמרק,0,1
158,דניאל ואס,Daniel Wass,דנמרק,0,1
159,יואקים מהלה,Joakim Maehle,דנמרק,0,1
160,סיימון קיאר,Simon Kjaer,דנמרק,0,1
161,יאניק וסטרגארד,Jannik Vestergaard,דנמרק,0,0
162,יואקים אנדרסן,Joachim Andersen,דנמרק,0,0
163,ינס סטרייגר לארסן,Jens Stryger Larsen,דנמרק,0,0
164,מתיאס זאנקה,,דנמרק,0,0
165,ניקולאי בוילסן,Nicolai Boilesen,דנמרק,0,0
166,כריסטיאן אריקסן,Christian Eriksen,דנמרק,1,0
167,אנדראס סקוב אולסן,Andreas Skov Olsen,דנמרק,0,0
168,רוברט סקוב,Robert Skov,דנמרק,0,0
169,פייר-אמיל הויביירג,Pierre-Emile Højbjerg,דנמרק,0,1
170,תומאס דילייני,Thomas Delaney,דנמרק,0,1
171,מיקל דמסגארד,Mikkel Damsgaard,דנמרק,0,1
172,מתיאס ינסן,Mathias Jensen,דנמרק,0,0
173,אנדרס כריסטיאנסן,Andreas Christensen,דנמרק,0,0
