name,price,points,position,team,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,is_penalty_taker,is_starter,team_pr,team_gfpg,team_gapg,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,round,pred_points
הוגו לוריס,10,4,GK,צרפת,3,270,0,0,0.0,6.54,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,1,0.925,2.0,0.72,גרמניה,2.0,0.72,3.0,1.05,0.27,1.85,1.582,"(1, 1)",1,2.396
אונאי סימון,9,14,GK,ספרד,3,270,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Unai Simón,0,1,0.711,2.48,0.6,שבדיה,2.48,0.6,1.84,1.08,0.084,1.883,1.157,"(1, 1)",1,2.396
טיבו קורטואה,9,14,GK,בלגיה,3,270,0,0,0.0,6.96,1.0,1.0,0.0,0.0,0.0,Thibaut Courtois,0,1,0.893,3.2,0.36,רוסיה,3.2,0.36,2.0,0.96,0.594,3.388,0.851,"(3, 0)",1,6.396
מנואל נוייר,9,4,GK,גרמניה,3,270,0,0,0.0,6.01,1.0,1.0,0.0,0.0,0.0,Manuel Neuer,0,1,0.655,3.0,1.05,צרפת,3.0,1.05,2.0,0.72,-0.27,1.582,1.85,"(1, 1)",1,2.396
ג'אנלואיג'י דונארומה,8,18,GK,איטליה,3,269,0,0,0.0,6.77,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,1,0.934,2.96,0.48,טורקיה,2.96,0.48,1.44,0.36,0.362,2.171,0.777,"(2, 0)",1,6.396
סלבטורה סיריגו,4,1,GK,איטליה,0,1,0,0,0.0,6.04,0.0,0.004,0.0,0.0,0.0,Salvatore Sirigu,0,0,0.934,2.96,0.48,טורקיה,2.96,0.48,1.44,0.36,0.362,2.171,0.777,"(2, 0)",1,0.0
ג'ורדן פיקפורד,8,18,GK,אנגליה,3,270,0,0,0.0,6.87,1.0,1.0,0.0,0.0,0.0,Jordan Pickford,0,1,0.834,3.7,0.8999999999999999,קרואטיה,3.7,0.8999999999999999,1.7,1.05,0.39,3.182,1.037,"(3, 1)",1,2.396
רוי פטריסיו,8,6,GK,פורטוגל,3,270,0,0,0.0,6.71,1.0,1.0,0.0,0.0,0.0,Rui Patrício,0,1,0.76,2.2,0.8999999999999999,הונגריה,2.2,0.8999999999999999,1.04,1.56,0.538,2.891,0.719,"(2, 0)",1,6.396
דומיניק ליבאקוביץ',7,6,GK,קרואטיה,3,270,0,0,0.0,6.31,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,1,0.444,1.7,1.05,אנגליה,1.7,1.05,3.7,0.8999999999999999,-0.39,1.037,3.182,"(1, 3)",1,0.396
ווייצ'ך שצ'סני,7,-2,GK,פולין,3,270,0,0,0.0,6.37,1.0,1.0,0.0,0.0,0.0,Wojciech Szczesny,0,1,0.323,1.44,0.6,סלובקיה,1.44,0.6,1.2,1.44,0.185,1.637,0.803,"(1, 0)",1,6.396
יאן זומר,7,4,GK,שווייץ,3,270,0,0,0.0,6.26,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0,1,0.608,1.9,0.8999999999999999,וויילס,1.9,0.8999999999999999,1.0,0.8999999999999999,0.176,1.581,0.852,"(1, 0)",1,6.396
קספר שמייכל,7,5,GK,דנמרק,3,270,0,0,0.0,5.73,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0,1,0.697,2.3,0.8999999999999999,פינלנד,2.3,0.8999999999999999,1.28,1.2,0.662,3.072,0.762,"(3, 0)",1,6.396
