name,price,points,position,team,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,is_penalty_taker,is_starter,team_pr,team_gfpg,team_gapg,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points
הוגו לוריס,10,0,GK,צרפת,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,1,0.957,2.0,0.72,גרמניה,2.0,0.72,3.0,1.05,0.197,1.749,1.649,"(1, 1)",2.0
אונאי סימון,9,0,GK,ספרד,5,450,0,0,0.0,6.12,0.714,0.702,0.0,0.0,0.0,Unai Simón,0,1,0.786,2.48,0.6,שבדיה,2.48,0.6,1.84,1.08,0.17,2.001,1.099,"(2, 1)",2.0
דויד דה חאה,6,0,GK,ספרד,4,360,0,0,0.0,6.92,0.571,0.562,0.0,0.0,0.0,David de Gea,0,0,0.786,2.48,0.6,שבדיה,2.48,0.6,1.84,1.08,0.17,2.001,1.099,"(2, 1)",0.0
טיבו קורטואה,9,0,GK,בלגיה,4,360,0,0,0.0,6.385,0.444,0.444,0.0,0.0,0.0,Thibaut Courtois,0,1,0.918,3.2,0.36,רוסיה,3.2,0.36,2.0,0.96,0.552,3.244,0.868,"(3, 0)",6.0
סיימון מיניולה,4,0,GK,בלגיה,4,395,0,0,0.0,6.565,0.444,0.488,0.0,0.0,0.0,Simon Mignolet,0,0,0.918,3.2,0.36,רוסיה,3.2,0.36,2.0,0.96,0.552,3.244,0.868,"(3, 0)",0.0
מנואל נוייר,9,0,GK,גרמניה,6,540,0,0,0.0,6.505,0.75,0.737,0.0,0.0,0.0,Manuel Neuer,0,1,0.76,3.0,1.05,צרפת,3.0,1.05,2.0,0.72,-0.197,1.649,1.749,"(1, 1)",2.0
ברנד לנו,5,0,GK,גרמניה,1,90,0,0,0.0,6.96,0.125,0.123,0.0,0.0,0.0,Bernd Leno,0,0,0.76,3.0,1.05,צרפת,3.0,1.05,2.0,0.72,-0.197,1.649,1.749,"(1, 1)",0.0
קווין טראפ,3,0,GK,גרמניה,1,90,0,0,0.0,7.11,0.125,0.123,0.0,0.0,0.0,Kevin Trapp,0,0,0.76,3.0,1.05,צרפת,3.0,1.05,2.0,0.72,-0.197,1.649,1.749,"(1, 1)",0.0
ג'אנלואיג'י דונארומה,8,0,GK,איטליה,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,1,0.921,2.96,0.48,טורקיה,2.96,0.48,1.44,0.36,0.287,2.041,0.809,"(2, 0)",6.0
ג'ורדן פיקפורד,8,0,GK,אנגליה,6,540,0,0,0.0,6.35,0.75,0.765,0.0,0.0,0.0,Jordan Pickford,0,1,0.869,3.7,0.8999999999999999,קרואטיה,3.7,0.8999999999999999,1.7,1.05,0.313,2.982,1.08,"(2, 1)",2.0
רוי פטריסיו,8,0,GK,פורטוגל,4,360,0,0,0.0,6.91,0.444,0.444,0.0,0.0,0.0,Rui Patrício,0,1,0.823,2.2,0.8999999999999999,הונגריה,2.2,0.8999999999999999,1.04,1.56,0.671,3.334,0.675,"(3, 0)",6.0
אנתוני לופס,4,0,GK,פורטוגל,5,450,0,0,0.0,6.405,0.556,0.556,0.0,0.0,0.0,Anthony Lopes,0,0,0.823,2.2,0.8999999999999999,הונגריה,2.2,0.8999999999999999,1.04,1.56,0.671,3.334,0.675,"(3, 0)",0.0
