name,position,price,pred_points,team,pred_score,opponent,Rating,Mins_percentage,GnA_percentage
ג'ורדי אלבה,D,9,7.124349514563107,ספרד,"(1, 0)",פולין,7.63,0.281,0.086
בנז'מין פבאר,D,9,7.590519140010487,צרפת,"(3, 0)",הונגריה,7.335,0.556,0.045
אלכסנדר זינצ'נקו,D,7,8.408183435461556,אוקראינה,"(2, 0)",צפון מקדוניה,6.865,0.851,0.133
ולדימיר דארידה,M,6,4.640494467336452,צ`כיה,"(1, 1)",קרואטיה,7.36,0.99,0.148
ג'אנלואיג'י דונארומה,GK,8,6.0,איטליה,"(2, 0)",טורקיה,6.865,1.0,0.0
מאצ'יי ריבוס,D,6,6.831807951987997,פולין,"(1, 0)",סלובקיה,6.96,0.34,0.077
מייסון מאונט,M,9,5.491463184985248,אנגליה,"(2, 1)",קרואטיה,7.17,0.782,0.138
ממפיס דפאיי,FW,12,6.07842732839188,הולנד,"(1, 1)",אוקראינה,8.26,0.874,0.219
אנטואן גרייזמן,M,13,6.616861058546935,צרפת,"(1, 1)",גרמניה,7.49,0.938,0.227
רומלו לוקאקו,FW,14,6.850505302557704,בלגיה,"(3, 0)",רוסיה,7.54,0.778,0.167
ריקרדו רודריגס,D,7,8.402098744194047,שווייץ,"(1, 0)",וויילס,7.125,0.959,0.056
