name,position,price,pred_points,team,pred_score,opponent,Rating,Mins_percentage,GnA_percentage
בנז'מין פבאר,D,9,4.676634899769963,צרפת,"(1, 1)",פורטוגל,7.335,0.556,0.045
ג'ורדי אלבה,D,9,7.931574349117596,ספרד,"(3, 0)",סלובקיה,7.63,0.281,0.086
הקאן צ'לאנולו,M,8,4.656513266376855,טורקיה,"(1, 1)",שווייץ,7.32,0.972,0.28
ריקרדו רודריגס,D,7,6.224025616650823,שווייץ,"(1, 1)",טורקיה,7.125,0.959,0.056
רובן דיאס,D,8,4.950860086468586,פורטוגל,"(1, 1)",צרפת,7.05,1.0,0.065
טימו פוקי,FW,6,4.3917683491364174,פינלנד,"(0, 5)",בלגיה,7.48,1.0,0.353
רומלו לוקאקו,FW,14,8.951508585916791,בלגיה,"(5, 0)",פינלנד,7.54,0.778,0.167
ג'ורדן פיקפורד,GK,8,6.0,אנגליה,"(3, 0)",צ`כיה,6.35,0.765,0.0
פיל פודן,M,10,6.057668155177225,אנגליה,"(3, 0)",צ`כיה,7.775,0.524,0.138
אלכסנדר זינצ'נקו,D,7,5.609516794342959,אוקראינה,"(1, 1)",אוסטריה,6.865,0.851,0.133
אנטואן גרייזמן,M,13,6.326962427429072,צרפת,"(1, 1)",פורטוגל,7.49,0.938,0.227
