,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e,is_penalty_taker
הוגו לוריס,10,0,GK,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0
אונאי סימון,9,0,GK,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,5,450,0,0,0.0,6.12,0.7142857142857143,0.7020280811232449,0.0,0.0,0.0,Unai Simón,0
מנואל נוייר,9,0,GK,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,6,540,0,0,0.0,6.505,0.75,0.7366984993178718,0.0,0.0,0.0,Manuel Neuer,0
ג'אנלואיג'י דונארומה,8,0,GK,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0
ג'ורדן פיקפורד,8,0,GK,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,6,540,0,0,0.0,6.35,0.75,0.7648725212464589,0.0,0.0,0.0,Jordan Pickford,0
דומיניק ליבאקוביץ',7,0,GK,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,9,810,0,0,0.0,6.390000000000001,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0
ווייצ'ך שצ'סני,7,0,GK,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,6,540,0,0,0.0,6.45,0.75,0.7180851063829787,0.0,0.0,0.0,Wojciech Szczesny,0
יאן זומר,7,0,GK,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0
קספר שמייכל,7,0,GK,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0
אנטון שונין,6,0,GK,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,7,630,0,0,0.0,6.655,0.875,0.8860759493670886,0.0,0.0,0.0,Anton Shunin,0
רובין אולסן,6,0,GK,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,6,540,0,0,0.0,6.39,0.75,0.7736389684813754,0.0,0.0,0.0,Robin Olsen,0
תומאש ואצליק,6,0,GK,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,586,0,0,0.0,6.48,1.0,0.9301587301587302,0.0,0.0,0.0,Tomás Vaclik,0
לוקאס הרדצקי,4,0,GK,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,6,540,0,0,0.2,7.03,0.75,0.7648725212464589,0.0,0.0,0.0,Lukás Hrádecky,0
דייויד מרשל,3,0,GK,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,7,630,0,0,0.0,6.619999999999999,0.875,0.875,0.0,0.0,0.0,David Marshall,0
ז'ואאו קאנסלו,8,0,D,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,7,632,1,2,1.25,7.285,0.7777777777777778,0.7802469135802469,0.058823529411764705,0.14285714285714285,0.0967741935483871,João Cancelo,0
רובן דיאס,8,0,D,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,9,810,2,0,0.9,7.050000000000001,1.0,1.0,0.11764705882352941,0.0,0.06451612903225806,Rúben Dias,0
