name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
הוגו לוריס,10,0,GK,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris
אונאי סימון,9,0,GK,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,5,450,0,0,0.0,6.12,0.7142857142857143,0.7020280811232449,0.0,0.0,0.0,Unai Simón
טיבו קורטואה,9,0,GK,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,4,360,0,0,0.0,6.385,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,Thibaut Courtois
מנואל נוייר,9,0,GK,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,6,540,0,0,0.0,6.505,0.75,0.7366984993178718,0.0,0.0,0.0,Manuel Neuer
ג'אנלואיג'י דונארומה,8,0,GK,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma
ג'ורדן פיקפורד,8,0,GK,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,6,540,0,0,0.0,6.35,0.75,0.7648725212464589,0.0,0.0,0.0,Jordan Pickford
יספר סילסן,8,0,GK,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,4,360,0,0,0.0,6.64,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,Jasper Cillessen
רוי פטריסיו,8,0,GK,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,4,360,0,0,0.0,6.91,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,Rui Patrício
דומיניק ליבאקוביץ',7,0,GK,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,9,810,0,0,0.0,6.390000000000001,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic
ווייצ'ך שצ'סני,7,0,GK,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,6,540,0,0,0.0,6.45,0.75,0.7180851063829787,0.0,0.0,0.0,Wojciech Szczesny
יאן זומר,7,0,GK,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer
קספר שמייכל,7,0,GK,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel
אואורג'אן צ'אקיר,6,0,GK,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,4,360,0,0,0.0,6.6,0.5,0.5309734513274337,0.0,0.0,0.0,Ugurcan Çakir
אלכסנדר שלאגר,6,0,GK,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,5,450,0,0,0.0,5.705,0.5555555555555556,0.5653266331658291,0.0,0.0,0.0,Alexander Schlager
אנדרי פיאטוב,6,0,GK,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,3,270,0,0,0.0,6.12,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,Andriy Pyatov
אנטון שונין,6,0,GK,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,7,630,0,0,0.0,6.655,0.875,0.8860759493670886,0.0,0.0,0.0,Anton Shunin
דויד דה חאה,6,0,GK,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,4,360,0,0,0.0,6.92,0.5714285714285714,0.5616224648985959,0.0,0.0,0.0,David de Gea
לוקאש פביאנסקי,6,0,GK,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,3,270,0,0,0.0,6.61,0.375,0.35904255319148937,0.0,0.0,0.0,Lukasz Fabianski
רובין אולסן,6,0,GK,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,6,540,0,0,0.0,6.39,0.75,0.7736389684813754,0.0,0.0,0.0,Robin Olsen
תומאש ואצליק,6,0,GK,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,586,0,0,0.0,6.48,1.0,0.9301587301587302,0.0,0.0,0.0,Tomás Vaclik
ברנד לנו,5,0,GK,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,1,90,0,0,0.0,6.96,0.125,0.12278308321964529,0.0,0.0,0.0,Bernd Leno
טים קרול,5,0,GK,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,5,450,0,0,0.0,6.225,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,Tim Krul
מרטין דוברבקה,5,0,GK,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,1,90,0,0,0.0,7.3,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,Martin Dúbravka
קרייג גורדון,5,0,GK,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,2,180,0,0,0.0,6.66,0.25,0.25,0.0,0.0,0.0,Craig Gordon
אנתוני לופס,4,0,GK,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,5,450,0,0,0.0,6.404999999999999,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,Anthony Lopes
וויין הנסי,4,0,GK,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,4,360,0,0,0.0,6.58,0.5,0.5,0.0,0.0,0.0,Danny Ward
לוקאס הרדצקי,4,0,GK,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,6,540,0,0,0.2,7.03,0.75,0.7648725212464589,0.0,0.0,0.0,Lukás Hrádecky
סטולה דימיטרייבסקי,4,0,GK,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,4,337,0,0,0.0,6.155,0.4444444444444444,0.4445910290237467,0.0,0.0,0.0,Stole Dimitrievski
סיימון מיניולה,4,0,GK,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,4,395,0,0,0.0,6.5649999999999995,0.4444444444444444,0.4876543209876543,0.0,0.0,0.0,Simon Mignolet
פיטר גולאצ'י,4,0,GK,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,4,360,0,0,0.0,6.015000000000001,0.5,0.5,0.0,0.0,0.0,Péter Gulácsi
אדם דייויס,3,0,GK,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,0,11,0,0,0.0,6.13,0.0,0.015277777777777777,0.0,0.0,0.0,Adam Davies
אלש מנדוס,3,0,GK,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,1,90,0,0,0.0,5.91,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,Ales Mandous
ג'ון מקלולין,3,0,GK,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,4,406,0,0,0.55,6.734999999999999,0.5,0.5638888888888889,0.0,0.0,0.0,Kenny McLean
דושאן קוציאק,3,0,GK,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,3,270,0,0,0.0,6.135,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,Dusan Kuciak
